"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","YEAR","","COUNTY","INDIANA","18","WEST CENTRAL","40","CLAY","021","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","55.4","2.6"
"SURVEY","2020","YEAR","","COUNTY","INDIANA","18","WEST CENTRAL","40","FOUNTAIN","045","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","15,887,000","4.6"
"SURVEY","2020","YEAR","","COUNTY","INDIANA","18","WEST CENTRAL","40","FOUNTAIN","045","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","186.9","4.6"
"SURVEY","2020","YEAR","","COUNTY","INDIANA","18","WEST CENTRAL","40","FOUNTAIN","045","","","00000000","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","5,100,000","3.3"
"SURVEY","2020","YEAR","","COUNTY","INDIANA","18","WEST CENTRAL","40","FOUNTAIN","045","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","63.8","3.3"
"SURVEY","2020","YEAR","","COUNTY","INDIANA","18","WEST CENTRAL","40","MONTGOMERY","107","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","23,985,000","2.9"
"SURVEY","2020","YEAR","","COUNTY","INDIANA","18","WEST CENTRAL","40","MONTGOMERY","107","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","205","2.6"
"SURVEY","2020","YEAR","","COUNTY","INDIANA","18","WEST CENTRAL","40","MONTGOMERY","107","","","00000000","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","7,069,000","2.6"
"SURVEY","2020","YEAR","","COUNTY","INDIANA","18","WEST CENTRAL","40","MONTGOMERY","107","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","61.7","2.6"
"SURVEY","2020","YEAR","","COUNTY","INDIANA","18","WEST CENTRAL","40","OWEN","119","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","3,488,000","2.6"
"SURVEY","2020","YEAR","","COUNTY","INDIANA","18","WEST CENTRAL","40","OWEN","119","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","168.5","1.8"
"SURVEY","2020","YEAR","","COUNTY","INDIANA","18","WEST CENTRAL","40","OWEN","119","","","00000000","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,508,000","5.3"
